country_name,mortality_rates_2016,GDP_2016
Afghanistan,15.1,547.228
Angola,23.6,3506.073
Albania,13.6,4124.056
United Arab Emirates,18.1,38141.847
Argentina,14,12790.242
Armenia,17.1,3591.829
Antigua and Barbuda,7.9,15197.617
Australia,5.6,49971.131
Austria,5.2,45237.805
Azerbaijan,8.7,3880.739
Burundi,34.7,282.193
Belgium,5.8,41998.336
Benin,27.5,1087.288
Burkina Faso,30.5,687.670
Bangladesh,15.3,1401.620
Bulgaria,10.2,7545.790
Bosnia and Herzegovina,15.7,4994.683
Belarus,8.9,5022.627
Belize,28.3,4818.404
Bolivia,15.5,3076.659
Brazil,19.7,8710.097
Barbados,5.6,16900.167
Bhutan,17.4,2930.563
Botswana,23.8,7243.853
Central African Republic,33.6,402.191
Canada,5.8,42322.485
Switzerland,2.7,80172.232
Chile,12.5,13753.594
China,18.2,8147.938
Cote d'Ivoire,23.6,2013.382
Cameroon,30.1,1364.330
"Congo, Dem. Rep.",33.7,471.319
"Congo, Rep.",27.4,1815.296
Colombia,18.5,5871.224
Comoros,26.5,1273.059
Cabo Verde,25,3130.963
Costa Rica,16.7,11666.456
Cuba,8.5,8060.796
Cyprus,5.1,24532.519
Czech Republic,5.9,18463.387
Germany,4.1,42098.920
Dominica,10.9,8080.969
Denmark,4,54663.998
Dominican Republic,34.6,7280.880
Ecuador,21.3,6060.093
"Egypt, Arab Rep.",9.7,3525.020
Spain,4.1,26505.343
Estonia,6.1,18237.296
Ethiopia,26.7,717.125
Finland,4.7,43784.284
Fiji,9.6,5651.318
"Micronesia, Fed. Sts.",1.9,3014.700
Gabon,23.2,6984.451
United Kingdom,3.1,41064.133
Georgia,15.3,4062.170
Ghana,24.9,1931.389
Guinea,28.2,732.967
"Gambia, The",29.7,683.998
Guinea-Bissau,31.1,661.008
Equatorial Guinea,24.6,9250.332
Greece,9.2,18116.460
Grenada,9.3,9628.347
Guatemala,16.6,4173.302
Guyana,24.6,4542.622
Honduras,16.7,2342.585
Croatia,8.1,12360.484
Hungary,7.8,12992.376
Indonesia,12.2,3562.846
India,22.6,1732.564
Ireland,4.1,63197.082
"Iran, Islamic Rep.",20.5,5253.425
Iraq,20.7,4776.727
Iceland,6.6,61466.804
Israel,4.2,37321.624
Jamaica,13.6,4843.338
Jordan,24.4,4103.734
Japan,4.1,38761.818
Kazakhstan,17.6,7714.842
Kenya,27.8,1410.528
Kyrgyz Republic,15.4,1120.667
Cambodia,17.8,1269.591
Kiribati,4.4,1584.807
"Korea, Rep.",9.8,29288.870
Kuwait,17.6,27653.067
Lao PDR,16.6,2308.800
Lebanon,18.1,7629.891
Liberia,35.9,714.623
Libya,26.1,4035.194
St. Lucia,35.4,10361.814
Sri Lanka,14.9,3886.292
Lesotho,28.9,1043.570
Lithuania,8,14999.480
Luxembourg,6.3,104278.391
Latvia,9.3,14153.415
Morocco,19.6,2896.720
Moldova,9.7,2880.439
Madagascar,28.6,475.955
Maldives,0.9,9209.289
Mexico,13.1,8739.756
North Macedonia,6.4,5129.159
Mali,23.1,780.388
Malta,6.1,25133.046
Myanmar,19.9,1266.546
Montenegro,10.7,7033.605
Mongolia,16.5,3660.151
Mozambique,30.1,428.926
Mauritania,24.7,1536.854
Mauritius,13.7,9681.619
Malawi,31,315.777
Malaysia,23.6,9817.741
Namibia,30.4,4523.091
Niger,26.2,494.719
Nigeria,21.4,2176.000
Netherlands,3.8,46007.853
Norway,2.7,70459.183
Nepal,15.9,777.148
New Zealand,7.8,40105.613
Oman,16.1,14618.875
Pakistan,14.3,1368.454
Panama,14.3,14343.964
Peru,13.5,6204.997
Philippines,12.3,3073.654
Papua New Guinea,14.2,2509.631
Poland,9.7,12431.816
Portugal,7.4,19978.401
Paraguay,22.7,5319.410
Qatar,9.3,57163.061
Romania,10.3,9567.129
Russian Federation,18,8704.898
Rwanda,29.7,748.504
Saudi Arabia,28.8,19879.298
Senegal,23.4,1269.902
Singapore,2.8,56828.295
Solomon Islands,17.4,1986.416
El Salvador,22.2,3805.994
Somalia,27.1,4109.165
Serbia,7.4,5756.381
Sao Tome and Principe,27.5,1710.131
Suriname,14.5,5539.069
Slovak Republic,6.1,16505.975
Slovenia,6.4,21622.581
Sweden,2.8,51965.157
Eswatini,26.9,3447.696
Seychelles,15.9,15068.620
Chad,27.6,693.449
Togo,29.2,597.471
Thailand,32.7,5994.231
Tajikistan,18.1,802.518
Turkmenistan,14.5,6389.548
Timor-Leste,12.7,1358.202
Tonga,16.8,3966.157
South Asia (IDA & IBRD),20.64155742,1651.089
Trinidad and Tobago,12.1,16176.947
Tunisia,22.8,3697.931
Turkey,12.3,10820.634
Tanzania,29.2,966.475
Uganda,29,730.625
Ukraine,13.7,2187.731
Uruguay,13.4,15387.144
United States,12.4,57927.517
Uzbekistan,11.5,2567.799
Vietnam,26.4,2192.215
Vanuatu,15.9,2889.853
South Africa,25.9,5272.918
Zimbabwe,34.7,1464.584